acidity,pH
0.12,3.41
0.12,3.41
0.12,3.41
0.16,3.35
0.16,3.34
0.18,3.28
0.18,3.28
0.18,3.28
0.18,3.22
0.18,2.89
0.18,2.89
0.18,3.33
0.18,3.37
0.18,3.33
0.18,3.28
0.19,3.29
0.19,3.32
0.2,3.3
0.2,3.53
0.2,3.32
0.21,3.07
0.21,3.07
0.21,3.25
0.21,3.22
0.21,3.23
0.21,3.36
0.22,3.39
0.22,3.41
0.22,3.41
0.22,3.47
0.22,3.61
0.22,3.39
0.23,3.5
0.23,3.14
0.23,3.21
0.23,3.23
0.23,3.41
0.24,3.32
0.24,3.15
0.24,3.15
0.24,3.18
0.24,3.21
0.24,3.25
0.24,3.14
0.24,3.39
0.24,3.47
0.24,3.12
0.24,3.14
0.24,3.22
0.24,3.22
0.25,3.42
0.25,3.27
0.25,3.18
0.25,3.44
0.25,3.38
0.25,3.52
0.25,3.4
0.26,3.2
0.26,3.12
0.26,3.21
0.26,3.21
0.26,3.21
0.26,3.29
0.26,3.18
0.26,3.18
0.26,3.13
0.26,3.4
0.26,3.33
0.26,3.33
0.26,2.98
0.26,3.15
0.26,3.26
0.26,3.26
0.27,3.25
0.27,3.16
0.27,3.2
0.27,3.2
0.27,3.28
0.27,3.22
0.27,3.2
0.27,3.17
0.27,3.4
0.27,3.19
0.27,3.15
0.27,3.16
0.27,3.26
0.27,3.38
0.28,3.16
0.28,3.3
0.28,3.11
0.28,3.32
0.28,3.2
0.28,3.12
0.28,2.98
0.28,3.25
0.28,3.04
0.28,3.33
0.28,3.33
0.28,3.26
0.28,3.26
0.28,3.15
0.28,3.18
0.28,3.26
0.28,3.26
0.28,3.25
0.28,3.3
0.28,3.36
0.28,3.28
0.28,3.39
0.28,3.39
0.29,3.25
0.29,3.41
0.29,3.48
0.29,3.04
0.29,3.31
0.29,3.05
0.29,3.18
0.29,3.28
0.29,3.26
0.29,3.26
0.29,3.22
0.29,3.39
0.29,3.33
0.29,3.27
0.29,3.39
0.29,3.31
0.3,3.44
0.3,3.11
0.3,3.2
0.3,3.2
0.3,3.31
0.3,3.15
0.3,3.39
0.3,3.39
0.3,3.27
0.3,3.26
0.3,3.01
0.3,3.01
0.3,3.27
0.3,3.14
0.3,3.44
0.3,3.3
0.31,3.32
0.31,3.32
0.31,3.26
0.31,3.36
0.31,3.36
0.31,2.88
0.31,2.86
0.31,3.26
0.31,3.14
0.31,3.12
0.31,3.03
0.31,3.27
0.31,2.94
0.31,3.24
0.31,3.31
0.31,3.22
0.31,3.31
0.31,3.31
0.31,3.4
0.31,3.31
0.31,3.41
0.31,3.22
0.31,3.02
0.31,3.02
0.31,3.33
0.31,3.15
0.31,3.42
0.31,3.39
0.31,3.34
0.31,3.39
0.32,3.04
0.32,3.38
0.32,3.28
0.32,3.28
0.32,3.22
0.32,3.22
0.32,3.23
0.32,3.05
0.32,3.32
0.32,3.17
0.32,3.27
0.32,3.15
0.32,3.43
0.32,3.14
0.32,3.28
0.32,3.28
0.32,3.36
0.32,3.2
0.32,3.2
0.32,3.33
0.32,3.42
0.32,3.42
0.32,3.29
0.33,3.37
0.33,3.33
0.33,3.29
0.33,3.26
0.33,3.26
0.33,3.3
0.33,3.12
0.33,3.3
0.33,3.3
0.33,3.36
0.33,3.3
0.33,3.38
0.33,3.18
0.33,3.29
0.33,3.3
0.33,3.32
0.33,3.1
0.33,3.3
0.33,3.23
0.33,3.35
0.34,3.68
0.34,3.68
0.34,3.34
0.34,3.22
0.34,3.05
0.34,3.12
0.34,3.18
0.34,3.19
0.34,3.32
0.34,3.19
0.34,2.94
0.34,2.94
0.34,3.3
0.34,3.44
0.34,3.2
0.34,3.34
0.34,3.52
0.34,3.19
0.34,3.45
0.34,3.45
0.34,3.37
0.34,3.38
0.34,3.35
0.34,3.11
0.34,3.21
0.34,3.27
0.34,3.23
0.34,3.18
0.34,3.36
0.34,3.35
0.35,3.17
0.35,3.35
0.35,3.42
0.35,3.26
0.35,3.15
0.35,3.15
0.35,3.2
0.35,3.12
0.35,3.32
0.35,3.27
0.35,3.21
0.35,3.21
0.35,3.43
0.35,3.15
0.35,3.26
0.35,3.23
0.35,3.4
0.35,3.23
0.35,3.27
0.35,3.27
0.35,3.38
0.35,3.36
0.36,3.41
0.36,3.39
0.36,3.23
0.36,3.23
0.36,3.17
0.36,3.04
0.36,3.04
0.36,3.57
0.36,3.57
0.36,3.56
0.36,2.98
0.36,3.47
0.36,3.47
0.36,3.47
0.36,3.3
0.36,3.3
0.36,3.31
0.36,3.44
0.36,3.36
0.36,3.36
0.36,3.2
0.36,3.2
0.36,3.38
0.36,3.14
0.36,3.2
0.36,3.46
0.36,3.46
0.36,3.4
0.36,3.4
0.36,3.4
0.36,3.4
0.36,3.23
0.36,3.4
0.36,3.4
0.36,3.18
0.36,3.47
0.36,3.24
0.36,3.37
0.37,3.57
0.37,3.04
0.37,3.34
0.37,3.28
0.37,3.22
0.37,3.18
0.37,3.22
0.37,3.0
0.37,3.06
0.37,3.15
0.37,3.09
0.37,3.33
0.37,3.24
0.37,3.29
0.37,3.17
0.37,3.27
0.37,3.27
0.37,3.16
0.37,3.38
0.37,3.15
0.37,3.3
0.37,3.23
0.37,3.23
0.37,3.17
0.38,3.23
0.38,3.2
0.38,3.42
0.38,3.33
0.38,3.33
0.38,3.37
0.38,3.14
0.38,3.17
0.38,3.19
0.38,3.24
0.38,3.1
0.38,3.39
0.38,3.16
0.38,3.16
0.38,2.98
0.38,3.3
0.38,3.11
0.38,3.32
0.38,3.12
0.38,3.23
0.38,3.34
0.38,3.13
0.38,3.22
0.38,3.27
0.38,3.3
0.38,3.42
0.38,3.42
0.38,3.27
0.38,3.15
0.38,3.7
0.38,3.15
0.38,3.23
0.38,3.36
0.38,3.36
0.38,3.44
0.39,3.52
0.39,3.34
0.39,3.41
0.39,3.14
0.39,3.34
0.39,3.34
0.39,3.3
0.39,3.3
0.39,3.18
0.39,3.16
0.39,3.16
0.39,3.1
0.39,3.1
0.39,3.34
0.39,3.44
0.39,3.38
0.39,3.12
0.39,3.26
0.39,3.13
0.39,3.44
0.39,3.16
0.39,3.16
0.39,3.06
0.39,3.29
0.39,3.36
0.39,3.3
0.39,3.39
0.39,3.19
0.39,3.45
0.39,3.2
0.39,3.07
0.39,3.09
0.39,3.39
0.39,3.46
0.39,3.3
0.4,3.43
0.4,3.34
0.4,3.44
0.4,3.07
0.4,3.53
0.4,3.38
0.4,3.38
0.4,3.37
0.4,3.27
0.4,3.06
0.4,3.32
0.4,3.03
0.4,3.22
0.4,3.04
0.4,3.03
0.4,3.26
0.4,3.08
0.4,3.08
0.4,3.3
0.4,3.31
0.4,3.45
0.4,3.2
0.4,3.28
0.4,3.36
0.4,3.21
0.4,3.15
0.4,3.49
0.4,3.12
0.4,3.41
0.4,3.38
0.4,3.28
0.4,3.24
0.4,3.22
0.4,3.28
0.4,3.34
0.4,3.42
0.4,3.1
0.41,3.28
0.41,3.54
0.41,3.54
0.41,3.08
0.41,3.06
0.41,3.19
0.41,3.26
0.41,3.01
0.41,3.15
0.41,3.15
0.41,3.34
0.41,3.48
0.41,3.34
0.41,3.32
0.41,3.26
0.41,3.13
0.41,3.21
0.41,3.38
0.41,3.24
0.41,3.38
0.41,3.44
0.41,3.44
0.41,3.24
0.41,3.02
0.41,3.02
0.41,3.14
0.41,3.21
0.41,3.42
0.41,3.16
0.41,3.41
0.41,3.47
0.41,3.3
0.41,3.37
0.42,3.04
0.42,3.29
0.42,3.29
0.42,3.34
0.42,3.2
0.42,3.21
0.42,3.24
0.42,3.26
0.42,3.31
0.42,3.02
0.42,3.34
0.42,3.72
0.42,3.16
0.42,3.31
0.42,3.21
0.42,3.19
0.42,3.71
0.42,3.24
0.42,3.22
0.42,3.24
0.42,3.15
0.42,3.33
0.42,3.78
0.42,3.23
0.42,3.27
0.42,3.35
0.42,3.68
0.42,3.39
0.42,3.09
0.42,3.41
0.42,3.39
0.43,3.17
0.43,3.17
0.43,3.13
0.43,3.42
0.43,3.42
0.43,3.42
0.43,3.42
0.43,3.34
0.43,3.37
0.43,3.37
0.43,3.19
0.43,3.35
0.43,3.31
0.43,3.15
0.43,3.38
0.43,3.35
0.43,3.23
0.43,3.19
0.43,2.89
0.43,2.89
0.43,3.06
0.43,3.34
0.43,3.34
0.43,3.36
0.43,3.28
0.43,3.28
0.43,3.22
0.43,3.44
0.43,3.44
0.43,3.25
0.43,3.49
0.43,3.49
0.43,3.22
0.43,3.21
0.43,3.33
0.43,3.33
0.43,3.52
0.43,3.4
0.43,3.4
0.43,3.1
0.43,3.6
0.43,3.26
0.43,3.35
0.44,3.22
0.44,3.21
0.44,3.28
0.44,3.24
0.44,3.23
0.44,3.06
0.44,3.17
0.44,3.17
0.44,3.23
0.44,3.3
0.44,3.38
0.44,3.14
0.44,3.29
0.44,3.32
0.44,3.01
0.44,3.32
0.44,3.38
0.44,3.18
0.44,3.25
0.44,3.48
0.44,3.51
0.44,3.42
0.44,3.25
0.45,3.33
0.45,3.33
0.45,3.41
0.45,3.1
0.45,3.37
0.45,3.26
0.45,3.38
0.45,3.17
0.45,3.35
0.45,3.35
0.45,3.21
0.45,3.55
0.45,3.24
0.45,3.24
0.45,3.22
0.45,3.13
0.45,3.13
0.45,3.3
0.45,3.21
0.45,3.15
0.45,3.29
0.45,3.21
0.46,3.32
0.46,3.18
0.46,2.99
0.46,3.43
0.46,3.05
0.46,3.32
0.46,3.21
0.46,3.12
0.46,3.1
0.46,3.1
0.46,3.13
0.46,3.33
0.46,3.21
0.46,3.1
0.46,3.66
0.46,3.66
0.46,3.1
0.46,3.36
0.46,3.36
0.46,3.33
0.46,3.61
0.46,3.03
0.46,3.15
0.46,3.5
0.46,3.37
0.46,3.37
0.46,3.39
0.46,3.39
0.46,3.39
0.46,3.39
0.46,3.33
0.47,3.3
0.47,3.08
0.47,3.3
0.47,3.3
0.47,3.29
0.47,3.08
0.47,3.31
0.47,3.9
0.47,3.38
0.47,3.4
0.47,3.18
0.47,3.18
0.47,3.16
0.47,3.16
0.47,3.17
0.47,3.45
0.47,3.56
0.47,3.54
0.47,3.54
0.47,3.32
0.47,3.3
0.48,3.54
0.48,3.1
0.48,3.26
0.48,3.22
0.48,3.28
0.48,3.31
0.48,3.33
0.48,3.32
0.48,3.1
0.48,3.09
0.48,3.22
0.48,3.24
0.48,3.21
0.48,3.21
0.48,3.12
0.48,3.45
0.48,3.28
0.48,3.37
0.48,3.1
0.48,3.3
0.48,3.3
0.48,3.39
0.48,3.34
0.48,3.33
0.49,3.17
0.49,3.21
0.49,2.93
0.49,3.39
0.49,2.93
0.49,2.93
0.49,3.39
0.49,3.33
0.49,3.11
0.49,3.42
0.49,3.2
0.49,3.34
0.49,3.39
0.49,3.16
0.49,3.16
0.49,3.16
0.49,3.02
0.49,3.16
0.49,3.19
0.49,3.29
0.49,3.18
0.49,3.03
0.49,3.37
0.49,3.29
0.49,3.3
0.49,3.41
0.49,3.38
0.49,3.27
0.49,3.35
0.49,3.35
0.49,3.5
0.49,3.71
0.49,3.58
0.49,3.41
0.49,3.41
0.5,3.35
0.5,3.35
0.5,3.39
0.5,3.36
0.5,3.25
0.5,3.31
0.5,3.39
0.5,3.63
0.5,3.63
0.5,3.4
0.5,3.35
0.5,3.2
0.5,3.23
0.5,3.36
0.5,3.05
0.5,3.16
0.5,3.22
0.5,3.31
0.5,3.34
0.5,3.19
0.5,3.19
0.5,2.92
0.5,3.52
0.5,3.29
0.5,3.29
0.5,3.09
0.5,3.46
0.5,3.23
0.5,3.24
0.5,3.32
0.5,3.32
0.5,3.18
0.5,3.53
0.5,3.33
0.5,3.33
0.5,3.27
0.5,3.44
0.5,3.28
0.5,3.32
0.5,3.36
0.5,3.36
0.5,3.36
0.5,3.18
0.5,3.43
0.5,3.16
0.5,3.16
0.51,3.17
0.51,3.42
0.51,3.09
0.51,3.09
0.51,3.33
0.51,3.47
0.51,3.49
0.51,3.52
0.51,3.52
0.51,3.23
0.51,3.4
0.51,3.35
0.51,3.34
0.51,3.46
0.51,3.33
0.51,3.36
0.51,3.36
0.51,3.36
0.51,3.36
0.51,3.54
0.51,3.54
0.51,3.48
0.51,3.42
0.51,3.42
0.52,3.9
0.52,3.4
0.52,3.38
0.52,3.42
0.52,3.23
0.52,2.74
0.52,3.58
0.52,3.46
0.52,3.46
0.52,3.34
0.52,3.36
0.52,3.34
0.52,3.34
0.52,3.26
0.52,3.24
0.52,3.43
0.52,3.43
0.52,3.32
0.52,3.32
0.52,3.5
0.52,3.26
0.52,3.15
0.52,3.43
0.52,3.34
0.52,3.4
0.52,3.2
0.52,3.2
0.52,3.22
0.52,3.22
0.52,3.34
0.52,3.3
0.52,3.56
0.52,3.26
0.53,3.33
0.53,3.3
0.53,3.3
0.53,3.15
0.53,3.35
0.53,3.38
0.53,3.12
0.53,3.12
0.53,3.27
0.53,3.05
0.53,3.18
0.53,3.2
0.53,3.27
0.53,3.07
0.53,3.07
0.53,3.21
0.53,3.26
0.53,3.19
0.53,3.25
0.53,3.26
0.53,3.35
0.53,3.16
0.53,3.16
0.53,3.5
0.53,3.38
0.53,3.38
0.53,3.29
0.53,3.21
0.53,3.6
0.54,3.39
0.54,3.69
0.54,3.69
0.54,3.01
0.54,3.41
0.54,3.2
0.54,3.08
0.54,3.27
0.54,3.27
0.54,3.27
0.54,3.39
0.54,3.39
0.54,3.39
0.54,3.39
0.54,3.61
0.54,3.61
0.54,3.39
0.54,3.43
0.54,3.2
0.54,2.94
0.54,3.37
0.54,3.24
0.54,3.25
0.54,3.39
0.54,3.18
0.54,3.18
0.54,3.3
0.54,3.72
0.54,3.72
0.54,3.26
0.54,3.26
0.55,3.41
0.55,3.21
0.55,3.21
0.55,3.37
0.55,3.28
0.55,3.28
0.55,3.22
0.55,3.05
0.55,3.25
0.55,3.45
0.55,3.14
0.55,3.17
0.55,3.23
0.55,3.35
0.55,3.26
0.55,3.49
0.55,3.49
0.55,3.36
0.55,3.32
0.55,3.52
0.56,3.11
0.56,3.19
0.56,3.19
0.56,3.37
0.56,3.33
0.56,3.32
0.56,3.08
0.56,3.3
0.56,3.13
0.56,3.11
0.56,3.28
0.56,3.44
0.56,3.28
0.56,3.22
0.56,3.22
0.56,3.48
0.56,3.18
0.56,3.18
0.56,3.24
0.56,3.4
0.56,3.4
0.56,3.53
0.56,3.15
0.56,3.59
0.56,3.27
0.56,3.46
0.56,3.37
0.56,3.26
0.56,3.33
0.56,3.42
0.56,3.44
0.56,3.34
0.56,3.54
0.56,3.54
0.57,3.29
0.57,3.3
0.57,3.26
0.57,3.12
0.57,3.57
0.57,3.36
0.57,3.46
0.57,3.46
0.57,3.27
0.57,3.31
0.57,3.46
0.57,3.43
0.57,3.47
0.57,3.38
0.57,3.3
0.57,3.41
0.57,3.16
0.57,3.16
0.57,3.29
0.57,3.38
0.57,3.38
0.57,3.41
0.57,3.36
0.57,3.36
0.57,3.32
0.57,3.04
0.57,3.44
0.57,3.36
0.58,3.36
0.58,3.28
0.58,3.46
0.58,3.08
0.58,3.22
0.58,3.05
0.58,3.44
0.58,3.25
0.58,3.09
0.58,3.17
0.58,3.13
0.58,3.23
0.58,3.23
0.58,3.45
0.58,3.22
0.58,3.32
0.58,3.32
0.58,3.62
0.58,3.46
0.58,3.59
0.58,3.21
0.58,3.21
0.58,3.02
0.58,3.27
0.58,3.28
0.58,3.32
0.58,3.1
0.58,3.24
0.58,3.38
0.58,3.35
0.58,3.21
0.58,3.56
0.58,3.38
0.58,3.4
0.58,3.35
0.58,3.33
0.58,3.5
0.58,3.58
0.59,3.38
0.59,3.43
0.59,3.42
0.59,3.37
0.59,3.25
0.59,3.04
0.59,3.31
0.59,3.31
0.59,3.28
0.59,3.18
0.59,3.18
0.59,3.37
0.59,3.18
0.59,3.18
0.59,3.26
0.59,3.3
0.59,3.0
0.59,3.46
0.59,3.46
0.59,3.14
0.59,3.5
0.59,3.14
0.59,3.55
0.59,3.55
0.59,3.55
0.59,3.42
0.59,3.42
0.59,3.41
0.59,3.41
0.59,3.36
0.59,3.15
0.59,3.42
0.59,3.42
0.59,3.1
0.59,3.52
0.59,3.28
0.59,3.41
0.59,3.41
0.59,3.41
0.6,3.3
0.6,3.42
0.6,3.85
0.6,3.15
0.6,3.35
0.6,3.35
0.6,3.59
0.6,3.37
0.6,3.2
0.6,3.47
0.6,3.47
0.6,3.03
0.6,3.15
0.6,3.25
0.6,3.14
0.6,3.14
0.6,3.31
0.6,3.5
0.6,3.5
0.6,3.36
0.6,3.36
0.6,3.45
0.6,3.38
0.6,3.53
0.6,3.53
0.6,3.39
0.6,3.18
0.6,3.15
0.6,3.15
0.6,3.4
0.6,3.4
0.6,3.22
0.6,3.3
0.6,3.3
0.6,3.45
0.6,3.29
0.6,3.29
0.6,3.34
0.6,3.3
0.6,3.3
0.6,3.52
0.6,3.38
0.6,3.55
0.6,3.21
0.6,3.21
0.6,3.21
0.6,3.45
0.61,3.26
0.61,3.26
0.61,3.4
0.61,3.19
0.61,3.19
0.61,3.12
0.61,3.54
0.61,3.42
0.61,3.24
0.61,3.16
0.61,3.48
0.61,3.25
0.61,3.56
0.61,3.56
0.61,3.22
0.61,3.22
0.61,3.69
0.61,3.48
0.61,3.48
0.61,3.69
0.61,3.29
0.61,3.61
0.61,3.1
0.61,3.3
0.61,3.3
0.61,3.33
0.61,3.55
0.62,3.16
0.62,3.17
0.62,3.34
0.62,3.48
0.62,3.15
0.62,3.16
0.62,3.42
0.62,3.52
0.62,3.36
0.62,3.29
0.62,3.08
0.62,3.22
0.62,3.51
0.62,3.51
0.62,3.51
0.62,3.38
0.62,3.38
0.62,3.31
0.62,3.31
0.62,3.28
0.62,3.32
0.62,3.17
0.62,3.66
0.62,3.42
0.63,3.26
0.63,3.32
0.63,3.46
0.63,3.19
0.63,3.47
0.63,3.28
0.63,3.37
0.63,3.37
0.63,3.37
0.63,3.67
0.63,3.43
0.63,3.28
0.63,3.09
0.63,3.09
0.63,3.09
0.63,3.58
0.63,3.44
0.63,3.53
0.63,3.07
0.63,3.26
0.63,3.2
0.63,3.2
0.63,3.26
0.63,3.26
0.63,3.4
0.63,3.4
0.63,3.34
0.63,3.36
0.63,3.22
0.64,3.34
0.64,3.24
0.64,3.32
0.64,3.37
0.64,3.28
0.64,3.47
0.64,3.23
0.64,3.59
0.64,3.59
0.64,3.59
0.64,3.13
0.64,3.13
0.64,3.36
0.64,3.36
0.64,3.47
0.64,3.44
0.64,3.44
0.64,3.28
0.64,3.3
0.64,3.3
0.64,3.35
0.64,3.37
0.64,3.27
0.64,3.31
0.64,3.36
0.64,3.52
0.64,3.57
0.65,3.39
0.65,3.38
0.65,3.67
0.65,3.2
0.65,3.34
0.65,3.32
0.65,3.44
0.65,3.47
0.65,3.47
0.65,3.47
0.65,3.29
0.65,3.29
0.65,3.29
0.65,3.35
0.65,3.35
0.65,3.57
0.66,3.51
0.66,3.3
0.66,3.15
0.66,3.61
0.66,3.61
0.66,3.37
0.66,3.37
0.66,3.31
0.66,3.08
0.66,3.06
0.66,3.4
0.66,3.46
0.66,3.29
0.66,3.28
0.66,3.45
0.66,3.53
0.66,3.53
0.66,3.13
0.66,3.71
0.66,3.71
0.66,3.52
0.66,3.35
0.66,3.29
0.66,3.43
0.66,3.26
0.66,3.27
0.67,3.48
0.67,3.32
0.67,3.16
0.67,3.17
0.67,3.68
0.67,3.39
0.67,3.28
0.67,3.49
0.67,3.26
0.67,3.17
0.67,3.17
0.67,3.17
0.67,3.4
0.67,3.31
0.67,3.2
0.67,3.45
0.67,3.42
0.67,3.32
0.67,3.32
0.67,3.4
0.67,3.44
0.67,3.39
0.67,3.42
0.68,3.54
0.68,3.48
0.68,3.17
0.68,3.38
0.68,3.14
0.68,3.14
0.68,3.31
0.68,3.5
0.68,3.41
0.68,3.38
0.68,3.45
0.68,3.51
0.69,3.21
0.69,3.31
0.69,3.34
0.69,3.26
0.69,3.48
0.69,3.48
0.69,3.46
0.69,3.46
0.69,3.36
0.69,3.35
0.69,3.47
0.69,3.38
0.69,3.38
0.69,3.38
0.69,3.35
0.69,3.29
0.69,3.29
0.69,3.25
0.69,3.25
0.69,2.88
0.69,3.44
0.69,3.42
0.69,3.33
0.7,3.51
0.7,3.51
0.7,3.19
0.7,3.32
0.7,3.32
0.7,3.31
0.7,3.4
0.7,3.43
0.7,3.44
0.7,3.54
0.71,3.47
0.71,3.44
0.71,3.38
0.72,3.4
0.72,3.43
0.72,3.39
0.72,3.35
0.72,3.45
0.73,3.44
0.73,3.26
0.73,3.15
0.73,3.2
0.73,3.2
0.73,3.38
0.74,3.28
0.74,3.28
0.74,3.14
0.74,3.12
0.74,3.36
0.74,4.01
0.74,4.01
0.74,3.24
0.74,3.45
0.74,3.45
0.74,3.67
0.75,3.38
0.75,3.55
0.75,3.34
0.75,3.39
0.75,3.39
0.75,3.24
0.76,3.26
0.76,3.45
0.76,3.51
0.76,2.9
0.76,3.55
0.77,3.3
0.77,3.3
0.77,3.62
0.77,3.2
0.77,3.2
0.77,3.27
0.78,3.26
0.78,3.48
0.78,3.37
0.78,3.37
0.78,3.4
0.78,3.31
0.78,3.36
0.78,3.37
0.78,3.0
0.78,3.0
0.79,3.12
0.79,3.53
0.8,3.4
0.8,3.33
0.8,3.52
0.81,3.19
0.81,3.51
0.82,3.39
0.82,3.2
0.82,3.36
0.82,3.36
0.82,3.16
0.83,3.16
0.83,3.33
0.83,3.29
0.83,3.38
0.84,3.52
0.84,3.52
0.84,3.1
0.84,3.27
0.84,3.41
0.84,3.12
0.84,3.53
0.84,3.53
0.85,3.56
0.85,3.36
0.86,3.25
0.86,3.6
0.87,3.6
0.87,3.25
0.87,3.25
0.87,3.26
0.88,3.2
0.88,3.24
0.88,3.41
0.88,3.58
0.88,3.53
0.89,2.99
0.9,3.39
0.9,3.22
0.9,3.5
0.91,3.51
0.91,3.35
0.91,3.53
0.92,3.48
0.95,3.2
0.96,3.36
0.96,3.5
0.98,3.25
0.98,3.6
0.98,3.31
1.01,3.66
1.02,3.75
1.02,3.59
1.04,3.52
1.07,3.3
1.09,3.51
1.13,3.5
1.18,3.34
1.24,3.15
1.33,3.53
1.33,3.54
1.58,3.5
